ID,SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,CITY,STATE,ZIP,BEDS,BATHS,LOCATION,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,DAYS.ON.MARKET,X..SQUARE.FEET,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
20191,MLS Listing,NA,Townhouse,Baltimore,MD,21239,3,1.5,Good Samaritan,1178,NA,1948,106,110,NA,Active,,,MRIS,N,Y,39.4,-76.6
20192,MLS Listing,NA,Condo/Co-op,Atlanta,GA,30363,2,2.5,The Atlantic,1828,NA,2009,162,350,723,Active,,,GAMLS,N,Y,33.8,-84.4
20193,MLS Listing,NA,Condo/Co-op,Bronx,NY,10471,0,1,Bronx,450,NA,1956,2,244,NA,Active,,,HGMLS,N,Y,40.9,-73.9
20194,MLS Listing,NA,Single Family Residential,Miami,FL,33162,4,2,Fulford Highlands Add 02,1996,7875,1954,204,175,NA,Active,,,GFLMLS,N,Y,25.9,-80.2
20195,MLS Listing,NA,Single Family Residential,Orlando,FL,32824,2,2,Orlando,1300,8483,1986,63,122,NA,Active,,,MFRMLS,N,Y,28.4,-81.4
20196,MLS Listing,NA,Single Family Residential,Atlanta,GA,30331,4,2.5,Summit at Stonewall Tell,2984,NA,2005,118,72,38,Active,,,GAMLS,N,Y,33.7,-84.6
20197,MLS Listing,NA,Single Family Residential,Miami,FL,33184,5,4.5,Marien Sub,3677,4956,2005,124,137,NA,Active,,,MARMLS,N,Y,25.8,-80.4
20198,New Construction Plan,NA,Single Family Residential,Orlando,FL,32827,4,2.5,Laureate Park,2803,NA,NA,NA,168,NA,Active,,,NewHomeSource.com,N,Y,28.4,-81.3
20199,MLS Listing,NA,Condo/Co-op,Bronx,NY,10462,1,1,Bronx,750,NA,1959,19,213,NA,Active,,,HGMLS,N,Y,40.9,-73.9
20200,MLS Listing,NA,Condo/Co-op,Miami,FL,33132,2,2,Marinablue,1327,NA,2008,41,376,867,Active,,,MARMLS,N,Y,25.8,-80.2
20201,MLS Listing,NA,Single Family Residential,Miami,FL,33184,4,3.5,International Gardens Sec,2650,8418,1976,133,179,NA,Active,,,MARMLS,N,Y,25.8,-80.4
20202,MLS Listing,NA,Townhouse,Laguna Hills,CA,92653,2,2.5,S2 - Laguna Hills,1267,NA,1988,8,343,363,Active,March-10-2018 01:00 PM,March-10-2018 04:00 PM,CRMLS,N,Y,33.6,-117.7
20203,MLS Listing,NA,Single Family Residential,Miami,FL,33196,4,2.5,Adventure Homes,2193,5502,1998,30,176,NA,Active,,,MARMLS,N,Y,25.6,-80.4
20204,MLS Listing,NA,Multi-Family (2-4 Unit),Flushing,NY,11367,5,4,Flushing,NA,1967,1970,5,NA,NA,Active,March-8-2018 12:00 PM,March-8-2018 03:00 PM,MLSLI,N,Y,40.7,-73.8
20205,MLS Listing,NA,Single Family Residential,Apex,NC,27539,6,5,Jamison Park,4653,23086,2005,19,154,52,Active,,,TMLS,N,Y,35.7,-78.8
20206,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32220,4,2.5,Pritchard Point,2298,NA,2018,6,98,42,Active,,,NEFLMLS,N,Y,30.4,-81.8
20207,MLS Listing,NA,Single Family Residential,Cary,NC,27518,6,4,Birklands,6987,65340,2005,105,233,150,Active,,,TMLS,N,Y,35.7,-78.8
20208,MLS Listing,NA,Single Family Residential,Mission Viejo,CA,92692,4,3.5,MN - Mission Viejo North,4480,9500,1994,34,368,191,Active,,,CRMLS,N,Y,33.6,-117.6
20209,MLS Listing,NA,Single Family Residential,Cary,NC,27511,4,3,Wimbledon,2775,10890,1991,62,151,80,Active,,,TMLS,N,Y,35.7,-78.8
20210,MLS Listing,NA,Townhouse,Flushing,NY,11367,4,3,Flushing,NA,2700,1940,92,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
20211,MLS Listing,NA,Single Family Residential,Laguna Beach,CA,92651,5,5.5,NL - North Laguna,6109,7562,1991,632,4338,737,Active,,,CRMLS,N,Y,33.6,-117.8
20212,MLS Listing,NA,Condo/Co-op,Miami,FL,33125,2,2,Terrazas Riverpark,1002,NA,2010,481,388,522,Active,,,MARMLS,N,Y,25.8,-80.2
20213,MLS Listing,NA,Vacant Land,Atlanta,GA,30345,NA,NA,Fairway Gardens,NA,13068,NA,153,NA,NA,Active,,,FMLS,N,Y,33.9,-84.3
20214,MLS Listing,NA,Single Family Residential,Miami,FL,33137,3,1,Bayshore Sub,1562,6384,1938,141,480,NA,Active,,,GFLMLS,N,Y,25.8,-80.2
20215,MLS Listing,NA,Single Family Residential,Atlanta,GA,30306-3910,5,5.5,Virginia Highland,4285,8319,2006,14,315,NA,Active,,,GAMLS,N,Y,33.8,-84.4
20216,MLS Listing,NA,Single Family Residential,Raleigh,NC,27616,5,3,Wake,3026,6751,2017,13,158,95,Active,,,TMLS,N,Y,35.9,-78.5
20217,MLS Listing,NA,Vacant Land,Jacksonville,FL,32226,NA,NA,Amelia View,NA,NA,NA,288,NA,1,Active,,,NEFLMLS,N,Y,30.5,-81.6
20218,MLS Listing,NA,Single Family Residential,Flushing,NY,11358,5,1.5,Flushing North,NA,4650,1935,82,NA,NA,Active,,,MLSLI,N,Y,40.8,-73.8
20219,MLS Listing,NA,Single Family Residential,La Habra,CA,90631,3,1.5,699 - Not Defined,1194,6832,1955,133,446,NA,Active,,,CRMLS,N,Y,33.9,-117.9
20220,MLS Listing,NA,Multi-Family (2-4 Unit),Bronx,NY,10456,4,3,Bronx,890,1102,2005,29,730,NA,Active,,,HGMLS,N,Y,40.8,-73.9
20221,MLS Listing,NA,Condo/Co-op,Miami,FL,33129,2,2,Miami,1304,NA,1982,161,321,1020,Active,,,GFLMLS,N,Y,25.8,-80.2
20222,MLS Listing,NA,Single Family Residential,Kendall,FL,33186,4,2,Kenland   Homes,NA,NA,1984,205,NA,NA,Active,,,MARMLS,N,Y,25.7,-80.4
20223,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32210,3,2,Hyde Grove Acres,2046,NA,1963,14,73,NA,Active,,,NEFLMLS,N,Y,30.3,-81.8
20224,MLS Listing,NA,Single Family Residential,Atlanta,GA,30331,5,4.5,Barrington Trace,NA,NA,2017,109,NA,NA,Active,,,FMLS,N,Y,33.7,-84.5
20225,MLS Listing,NA,Condo/Co-op,Jacksonville,FL,32258,2,2,Williams Walk,1188,NA,2005,66,126,293,Active,,,NEFLMLS,N,Y,30.1,-81.5
20226,MLS Listing,NA,Condo/Co-op,Raleigh,NC,27617,3,3,The Cottages,1998,NA,2014,40,215,247,Active,,,TMLS,N,Y,35.9,-78.8
20227,MLS Listing,NA,Single Family Residential,Chapel Hill,NC,27516,3,3,Britton Woods,3824,219106,1987,7,229,NA,Active,,,TMLS,N,Y,35.9,-79.1
20228,MLS Listing,NA,Single Family Residential,Laguna Niguel,CA,92677,4,3,LNSLT - Salt Creek,3247,5000,1989,344,439,330,Active,,,CRMLS,N,Y,33.5,-117.7
20229,MLS Listing,NA,Multi-Family (2-4 Unit),Queens,NY,11369,NA,NA,East Elmhurst,NA,NA,NA,6,NA,NA,Active,,,REBNY,N,Y,40.8,-73.9
20230,MLS Listing,NA,Vacant Land,Jacksonville,FL,32224,NA,NA,Atlantic Highlands,NA,NA,NA,139,NA,NA,Active,,,NEFLMLS,N,Y,30.3,-81.4
20231,MLS Listing,NA,Single Family Residential,Raleigh,NC,27612,2,1,Wake,950,16552,1958,26,178,NA,Active,,,TMLS,N,Y,35.9,-78.7
20232,MLS Listing,NA,Single Family Residential,Orlando,FL,32827,4,4,Orlando,3465,10042,2006,121,278,498,Active,,,MFRMLS,N,Y,28.4,-81.2
20233,MLS Listing,NA,Condo/Co-op,Sweetwater,FL,33172,1,1,Euros Suites Residences,319,NA,2008,22,454,355,Active,,,MARMLS,N,Y,25.8,-80.4
20234,MLS Listing,NA,Townhouse,Atlanta,GA,30339,4,4.5,Abbington At Wildwood,4490,NA,2018,9,209,28,Active,,,GAMLS,N,Y,33.9,-84.5
20235,MLS Listing,NA,Single Family Residential,West Miami,FL,33155,3,1,Camner Manor 2nd Addn,878,7331,1948,8,473,NA,Active,,,MARMLS,N,Y,25.8,-80.3
20236,MLS Listing,NA,Single Family Residential,Miami,FL,33129,3,4,Brickell Flagler,4665,18000,1953,8,568,NA,Active,,,MARMLS,N,Y,25.7,-80.2
20237,MLS Listing,NA,Single Family Residential,Orlando,FL,32836,6,4,Orlando,4467,8750,2015,106,176,85,Active,,,MFRMLS,N,Y,28.4,-81.5
20238,MLS Listing,NA,Single Family Residential,Whitestone,NY,11357,3,2.5,Whitestone,1320,9400,1950,2,1330,NA,Active,,,MLSLI,N,Y,40.8,-73.8
20239,MLS Listing,NA,Condo/Co-op,Flushing,NY,11355,2,2,Condo,800,NA,2009,36,910,240,Active,,,MLSLI,N,Y,40.8,-73.8
20240,MLS Listing,NA,Condo/Co-op,Brooklyn,NY,11234,0,1,Brooklyn,500,NA,1966,34,230,NA,Active,,,BNYMLS,N,Y,40.6,-73.9
20241,MLS Listing,NA,Single Family Residential,Staten Island,NY,10308,3,3,Great Kills,1100,4100,1975,5,659,NA,Active,March-10-2018 12:00 PM,March-10-2018 02:00 PM,SIBORMLS,N,Y,40.6,-74.1
20242,MLS Listing,NA,Multi-Family (2-4 Unit),Jamaica,NY,11432,4,3,Jamaica,NA,2200,1931,86,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
20243,MLS Listing,NA,Condo/Co-op,Placentia,CA,92870,2,2,84 - Placentia,917,NA,2001,29,398,275,Active,,,CRMLS,N,Y,33.9,-117.8
20244,MLS Listing,NA,Single Family Residential,Orlando,FL,32808,3,2,Orlando,1402,8930,1957,6,121,NA,Active,,,MFRMLS,N,Y,28.6,-81.5
20245,MLS Listing,NA,Condo/Co-op,Laguna Woods,CA,92637,2,2,LW - Laguna Woods,1009,NA,1966,189,316,717,Active,,,CRMLS,N,Y,33.6,-117.7
20246,MLS Listing,NA,Single Family Residential,Coto de Caza,CA,92679,5,5.5,CC - Coto De Caza,5175,9685,1999,1,338,227,Active,,,CRMLS,N,Y,33.6,-117.6
20247,MLS Listing,NA,Single Family Residential,Raleigh,NC,27616,3,2,Bryson Village,1901,6098,2018,13,143,45,Active,,,TMLS,N,Y,35.8,-78.5
20248,MLS Listing,NA,Single Family Residential,Sandy Springs,GA,30342,4,3,High Point,2600,17990,1959,42,242,NA,Active,,,GAMLS,N,Y,33.9,-84.4
20249,MLS Listing,NA,Single Family Residential,Miami,FL,33127,3,2,Buena Vista Gardens,990,5900,1926,85,197,NA,Active,,,MARMLS,N,Y,25.8,-80.2
20250,MLS Listing,NA,Condo/Co-op,Miami,FL,33172,2,2,Pineside,1110,NA,1974,211,158,246,Active,,,MARMLS,N,Y,25.8,-80.3
20251,MLS Listing,NA,Single Family Residential,Orlando,FL,32836,4,3,Orlando,2281,8778,2018,84,228,287,Active,,,MFRMLS,N,Y,28.4,-81.5
20252,MLS Listing,NA,Condo/Co-op,Flushing,NY,11354,2,1,Mitchell Gardens,800,NA,1951,12,374,NA,Active,,,MLSLI,N,Y,40.8,-73.8
20253,MLS Listing,NA,Condo/Co-op,Miami,FL,33176,2,2,Wisperwood Village C,968,NA,1977,29,232,495,Active,,,MARMLS,N,Y,25.7,-80.3
20254,MLS Listing,NA,Townhouse,Orlando,FL,32824,3,2.5,Orlando,1492,2802,2014,19,141,131,Active,,,MFRMLS,N,Y,28.4,-81.4
20255,MLS Listing,NA,Single Family Residential,Orlando,FL,32824,4,2.5,Orlando,1445,9200,2000,11,138,57,Active,,,MFRMLS,N,Y,28.4,-81.4
20256,MLS Listing,NA,Townhouse,Baltimore,MD,21214,3,1,Baltimore City,1536,NA,1955,30,74,NA,Active,,,MRIS,N,Y,39.4,-76.6
20257,MLS Listing,NA,Single Family Residential,Miami,FL,33184,3,3,Tamiami Lakes Sec 6,2253,3661,1981,106,164,75,Active,,,MARMLS,N,Y,25.8,-80.4
20258,MLS Listing,NA,Single Family Residential,Orlando,FL,32832,4,3.5,Orlando,3200,8749,2017,27,227,137,Active,,,MFRMLS,N,Y,28.4,-81.2
20259,MLS Listing,NA,Townhouse,Sandy Springs,GA,30328,3,2.5,Parc at Chastain,1867,NA,2018,95,238,NA,Active,,,GAMLS,N,Y,33.9,-84.4
20260,MLS Listing,NA,Condo/Co-op,Orlando,FL,32810,3,2,Orlando,1187,4781,1975,12,38,435,Active,,,MFRMLS,N,Y,28.6,-81.4
20261,MLS Listing,NA,Vacant Land,Jacksonville,FL,32256,NA,NA,Bayard,NA,NA,NA,40,NA,NA,Active,,,NEFLMLS,N,Y,30.2,-81.5
20262,MLS Listing,NA,Condo/Co-op,Raleigh,NC,27617,3,3,Brier Creek,2360,NA,2018,31,181,235,Active,,,TMLS,N,Y,35.9,-78.8
20263,New Construction Plan,NA,Single Family Residential,Chapel Hill,NC,27516,3,2.5,Briar Chapel,2110,NA,NA,NA,149,NA,Active,,,NewHomeSource.com,N,Y,35.8,-79.1
20264,MLS Listing,NA,Condo/Co-op,Bronx,NY,10451,2,1,Bronx,850,849,1950,20,129,NA,Active,,,HGMLS,N,Y,40.8,-73.9
20265,MLS Listing,NA,Single Family Residential,Atlanta,GA,30306,4,3,Morningside,NA,12501,1929,127,NA,NA,Active,,,FMLS,N,Y,33.8,-84.4
20266,MLS Listing,NA,Condo/Co-op,Seal Beach,CA,90740,2,2,1A - Seal Beach,1100,1100,1963,30,454,389,Active,,,CRMLS,N,Y,33.8,-118.1
20267,New Construction Plan,NA,Single Family Residential,Fairfax Station,VA,22039,4,3.5,Ox Road Estates,NA,NA,NA,NA,NA,NA,Active,,,NewHomeSource.com,N,Y,38.8,-77.3
20268,MLS Listing,NA,Mobile/Manufactured Home,Newport Beach,CA,92660,2,1.75,N7 - West Bay - Santa Ana Heights,1128,NA,1999,251,350,NA,Active,,,CRMLS,N,Y,33.6,-117.9
20269,New Construction Plan,NA,Single Family Residential,Orlando,FL,32827,3,2.5,Laureate Park at Lake Nona Cottage,2249,NA,NA,NA,181,NA,Active,,,NewHomeSource.com,N,Y,28.4,-81.3
20270,MLS Listing,NA,Single Family Residential,Brookhaven,GA,30319,4,3.5,Lynwood Park,NA,8712,2002,6,NA,NA,Active,,,FMLS,N,Y,33.9,-84.3
20271,MLS Listing,NA,Townhouse,Chesterfield,VA,23237,3,2.5,Silverleaf,1280,NA,2018,41,164,125,Active,NA,NA,CVRMLS,N,Y,37.4,-77.5
20272,MLS Listing,NA,Townhouse,Durham,NC,27713,2,2,Villages of Cornwallis,1062,1829,1986,13,133,238,Active,,,TMLS,N,Y,35.9,-78.9
20273,MLS Listing,NA,Condo/Co-op,Flushing,NY,11354,2,2,N/A,1043,NA,2007,11,746,NA,Active,,,MLSLI,N,Y,40.8,-73.8
20274,MLS Listing,NA,Single Family Residential,Orlando,FL,32824,4,2,Orlando,1850,6600,2015,17,165,97,Active,,,MFRMLS,N,Y,28.4,-81.3
20275,MLS Listing,NA,Condo/Co-op,Brooklyn,NY,11209,1,1,Bay Ridge,750,750,1932,6,433,973,Active,,,SIBORMLS,N,Y,40.6,-74
20276,MLS Listing,NA,Townhouse,Orlando,FL,32829,2,2,Orlando,1227,2665,2005,5,138,283,Active,,,MFRMLS,N,Y,28.5,-81.2
20277,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,2,2.5,Blue Condo,1870,NA,2005,232,524,1450,Active,,,MARMLS,N,Y,25.8,-80.2
20278,MLS Listing,NA,Townhouse,Staten Island,NY,10312,4,2,Eltingville,2808,6875,1965,15,258,NA,Active,,,SIBORMLS,N,Y,40.5,-74.2
20279,MLS Listing,NA,Single Family Residential,Stanton,CA,90680,3,1.75,699 - Not Defined,1640,6375,1956,49,354,NA,Active,,,CRMLS,N,Y,33.8,-118
20280,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32244,3,1,Ortega Farms,859,NA,1957,7,147,NA,Active,,,NEFLMLS,N,Y,30.2,-81.7
20281,New Construction Plan,NA,Single Family Residential,Orlando,FL,32825,4,2,Heritage Oaks,2090,NA,NA,NA,155,NA,Active,,,NewHomeSource.com,N,Y,28.5,-81.2
20282,MLS Listing,NA,Single Family Residential,S. Ozone Park,NY,11420,3,2,S. Ozone Park,NA,2000,1925,8,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
20283,MLS Listing,NA,Single Family Residential,Orlando,FL,32827,3,4,Orlando,3617,20701,1999,216,325,498,Active,,,MFRMLS,N,Y,28.4,-81.2
20284,New Construction Home,NA,Single Family Residential,Orlando,FL,32836,5,4.5,Royal Cypress Preserve,3873,NA,2018,7,194,NA,Active,,,NewHomeSource.com,N,Y,28.4,-81.5
20285,MLS Listing,NA,Multi-Family (2-4 Unit),Bronx,NY,10469,4,2.5,Bronx,2125,1720,1950,23,254,NA,Active,,,HGMLS,N,Y,40.9,-73.9
20286,MLS Listing,NA,Single Family Residential,Chesterfield,VA,23235,3,2.5,Forestdale,2132,14287,1974,47,89,NA,Active,NA,NA,CVRMLS,N,Y,37.5,-77.5
20287,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,3,2.5,Courvoisier Courts,1655,NA,1997,344,507,1084,Active,,,MARMLS,N,Y,25.8,-80.2
20288,MLS Listing,NA,Single Family Residential,Miami,FL,33133,4,2,Crystal Bluff,2324,8125,1958,153,473,NA,Active,,,MARMLS,N,Y,25.7,-80.2
20289,MLS Listing,NA,Single Family Residential,Miami,FL,33126,2,2,Winona Park 1st Addn,1225,6250,1956,1,204,NA,Active,,,MARMLS,N,Y,25.8,-80.3
20290,MLS Listing,NA,Townhouse,Baltimore,MD,21214,4,2,,1200,3484,1941,18,133,NA,Active,,,MRIS,N,Y,39.3,-76.6
20291,MLS Listing,NA,Condo/Co-op,Miami,FL,33130,1,1.5,Brickell Heights West,NA,NA,2017,25,NA,NA,Active,,,MARMLS,N,Y,25.8,-80.2
20292,New Construction Home,NA,Single Family Residential,Raleigh,NC,27616,3,2.5,5401 North,1735,NA,2017,152,183,NA,Active,,,NewHomeSource.com,N,Y,35.9,-78.5
20293,MLS Listing,NA,Condo/Co-op,Miami,FL,33133,1,1,Bird Grove,539,NA,2000,68,342,238,Active,,,MARMLS,N,Y,25.7,-80.2
20294,MLS Listing,NA,Single Family Residential,Newport Beach,CA,92661,5,5.5,NP - Balboa Peninsula,3968,3168,1991,36,2898,NA,Active,March-10-2018 01:00 PM,March-10-2018 04:00 PM,CRMLS,N,Y,33.6,-117.9
20295,MLS Listing,NA,Vacant Land,Baltimore,MD,21226,NA,NA,Curtis Bay,NA,40511,NA,12,NA,NA,Active,,,MRIS,N,Y,39.2,-76.6
20296,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,2,2,Icon Brickell,1327,NA,2009,61,549,1081,Active,,,MARMLS,N,Y,25.8,-80.2
20297,MLS Listing,NA,Single Family Residential,Ozone Park,NY,11420,4,1,Ozone Park,NA,2000,1930,63,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
20298,MLS Listing,NA,Condo/Co-op,Miami,FL,33130,2,2,Sls Brickell,1334,NA,2016,475,599,837,Active,,,MARMLS,N,Y,25.8,-80.2
20299,MLS Listing,NA,Townhouse,Baltimore,MD,21217,3,1,Druid Heights,NA,1290,1920,252,NA,NA,Active,,,MRIS,N,Y,39.3,-76.6
20300,MLS Listing,NA,Single Family Residential,Atlanta,GA,30314,4,1,Ashview Heights,NA,5227,1945,7,NA,NA,Active,,,GAMLS,N,Y,33.7,-84.4
20301,MLS Listing,NA,Condo/Co-op,Floral Park,NY,11005,1,1,Building 1,682,NA,1975,90,380,NA,Active,,,MLSLI,N,Y,40.8,-73.7
20302,MLS Listing,NA,Single Family Residential,Miami,FL,33184,5,5,Vesubio Sub,3851,8000,2015,699,231,NA,Active,,,MARMLS,N,Y,25.8,-80.4
20303,MLS Listing,NA,Single Family Residential,Orlando,FL,32819,3,3.5,Orlando,2968,4530,2017,160,250,241,Active,,,MFRMLS,N,Y,28.5,-81.5
20304,MLS Listing,NA,Single Family Residential,Atlanta,GA,30345-2041,4,3,Briarmoor Manor,NA,21780,1960,1,NA,NA,Active,,,GAMLS,N,Y,33.9,-84.3
20305,New Construction Home,NA,Single Family Residential,Cary,NC,27519,5,4,The Pines at Wake Crossing,3517,NA,2017,280,171,NA,Active,,,NewHomeSource.com,N,Y,35.8,-78.9
20306,New Construction Plan,NA,Single Family Residential,Orlando,FL,32836,4,3,Ruby Lake,2317,NA,NA,NA,211,NA,Active,,,NewHomeSource.com,N,Y,28.4,-81.5
20307,MLS Listing,NA,Single Family Residential,Raleigh,NC,27615,6,8,North Ridge,7461,29620,2018,52,308,NA,Active,,,TMLS,N,Y,35.9,-78.6
20308,MLS Listing,NA,Townhouse,Baltimore,MD,21213,2,1,Hopkins Biotech,NA,1233,1914,636,NA,NA,Active,,,MRIS,N,Y,39.3,-76.6
20309,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,2,2.5,Emerald At Brickell,1594,NA,2006,123,800,923,Active,,,MARMLS,N,Y,25.8,-80.2
20310,MLS Listing,NA,Single Family Residential,Brea,CA,92821,3,2.5,86 - Brea,1419,2650,1996,40,444,130,Active,,,CRMLS,N,Y,33.9,-117.9
20311,MLS Listing,NA,Townhouse,Baltimore,MD,21213,3,1,Oliver,NA,1387,1915,203,NA,NA,Active,,,MRIS,N,Y,39.3,-76.6
20312,MLS Listing,NA,Single Family Residential,Surfside,CA,90743,4,3.5,17 - Northwest Huntington Beach,3862,1664,2000,30,1295,100,Active,,,CRMLS,N,Y,33.7,-118.1
20313,MLS Listing,NA,Condo/Co-op,Bronx,NY,10463,1,1.5,Bronx,921,NA,1962,42,195,NA,Active,,,HGMLS,N,Y,40.9,-73.9
20314,MLS Listing,NA,Single Family Residential,Miami,FL,33155,3,2,Coral Way Village Sec A P,1303,7500,1954,237,322,NA,Active,,,MARMLS,N,Y,25.7,-80.3
20315,MLS Listing,NA,Single Family Residential,Queens Village,NY,11428,3,2.5,Queens Village,NA,2600,1960,23,NA,NA,Active,March-10-2018 01:00 PM,March-10-2018 03:00 PM,MLSLI,N,Y,40.7,-73.8
20316,MLS Listing,NA,Townhouse,Baltimore,MD,21206,3,1,Baltimore City,1234,NA,1929,135,92,NA,Active,,,MRIS,N,Y,39.3,-76.6
20317,MLS Listing,NA,Condo/Co-op,Brooklyn,NY,11230,0,1,Brooklyn,600,NA,NA,26,248,NA,Active,,,BNYMLS,N,Y,40.6,-74
20318,MLS Listing,NA,Townhouse,Huntington Beach,CA,92648,3,2.5,15 - West Huntington Beach,2160,NA,2003,168,409,532,Active,,,CRMLS,N,Y,33.7,-118
20319,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,2,2,Icon Brickell I,1325,NA,2008,141,595,1148,Active,,,MARMLS,N,Y,25.8,-80.2
20320,MLS Listing,NA,Single Family Residential,Orlando,FL,32828,3,2.5,Orlando,1617,12078,1988,23,179,61,Active,,,MFRMLS,N,Y,28.5,-81.2
20321,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32208,4,1.5,Sherwood Forest,2253,NA,1961,89,44,NA,Active,,,NEFLMLS,N,Y,30.4,-81.7
20322,MLS Listing,NA,Single Family Residential,Bronx,NY,10465,3,2,Bronx,1408,2726,1955,44,426,NA,Active,,,HGMLS,N,Y,40.8,-73.8
20323,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,1,1,Icon Brickell,597,NA,2008,1364,637,728,Active,,,MARMLS,N,Y,25.8,-80.2
20324,MLS Listing,NA,Townhouse,Miami,FL,33185,3,2.5,Oakland,1476,NA,2014,13,219,60,Active,,,MARMLS,N,Y,25.7,-80.5
20325,New Construction Plan,NA,Single Family Residential,Jacksonville,FL,32218,3,2,Pine Lakes,1557,NA,NA,NA,138,NA,Active,,,DR Horton,N,Y,30.5,-81.6
20326,MLS Listing,NA,Townhouse,Orange,CA,92866,5,4,699 - Not Defined,2530,9265,1968,28,336,NA,Active,,,CRMLS,N,Y,33.8,-117.8
20327,MLS Listing,NA,Single Family Residential,Laguna Niguel,CA,92677,5,5.5,LNSLT - Salt Creek,3688,9350,1992,8,386,137,Active,,,CRMLS,N,Y,33.5,-117.7
20328,MLS Listing,NA,Condo/Co-op,Brooklyn,NY,11214,2,1,Brooklyn,842,NA,2018,6,818,NA,Active,,,BNYMLS,N,Y,40.6,-74
20329,New Construction Plan,NA,Single Family Residential,Orlando,FL,32832,5,3.5,Belle Vie,4057,NA,NA,NA,138,NA,Active,,,NewHomeSource.com,N,Y,28.4,-81.2
20330,MLS Listing,NA,Single Family Residential,Miami,FL,33130,3,2,Riverview,9150,9150,1940,132,109,NA,Active,,,GFLMLS,N,Y,25.8,-80.2
20331,MLS Listing,NA,Condo/Co-op,Brooklyn,NY,11218,1,1,Brooklyn,800,NA,1961,1,550,NA,Active,March-11-2018 12:00 PM,March-11-2018 02:00 PM,BNYMLS,N,Y,40.6,-74
20332,New Construction Plan,NA,Single Family Residential,Raleigh,NC,27609,3,2.5,Ansley,2587,NA,NA,NA,181,NA,Active,,,NewHomeFeed,N,Y,35.9,-78.6
20333,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32224,4,2,Marsh Sound,2126,NA,1997,34,188,38,Active,,,NEFLMLS,N,Y,30.3,-81.4
20334,MLS Listing,NA,Single Family Residential,Atlanta,GA,30317-2936,5,4,East Lake,3500,13068,2017,90,214,NA,Active,,,GAMLS,N,Y,33.7,-84.3
20335,New Construction Plan,NA,Single Family Residential,Orlando,FL,32827,3,2,Laureate Park at Lake Nona Cottage,1758,NA,NA,NA,195,NA,Active,,,NewHomeSource.com,N,Y,28.4,-81.3
20336,MLS Listing,NA,Townhouse,Baltimore,MD,21239,3,2,Glen Oaks,1216,2852,1953,9,126,NA,Active,,,MRIS,N,Y,39.4,-76.6
20337,MLS Listing,NA,Single Family Residential,Rancho Santa Margarita,CA,92688,3,2.5,R1 - Rancho Santa Margarita North,1710,5830,1997,31,439,122,Active,,,CRMLS,N,Y,33.7,-117.6
20338,MLS Listing,NA,Single Family Residential,Orlando,FL,32835,3,2,Orlando,1895,8352,2005,1,153,46,Active,,,MFRMLS,N,Y,28.5,-81.5
20339,MLS Listing,NA,Condo/Co-op,Yonkers,NY,10705,2,1,Yonkers,725,59812,1950,35,241,NA,Active,,,HGMLS,N,Y,40.9,-73.9
20340,MLS Listing,NA,Condo/Co-op,Miami,FL,33179,2,2,Third Horizons,1040,NA,1966,98,110,334,Active,,,MARMLS,N,Y,25.9,-80.2
20341,MLS Listing,NA,Multi-Family (2-4 Unit),Atlanta,GA,30310-4564,NA,NA,Sylvan Hills,NA,NA,1930,283,NA,NA,Active,,,GAMLS,N,Y,33.7,-84.4
20342,MLS Listing,NA,Single Family Residential,College Park,GA,30349,3,2.5,Rivers Station,1708,3136,2018,22,96,49,Active,,,GAMLS,N,Y,33.6,-84.4
20343,MLS Listing,NA,Single Family Residential,Raleigh,NC,27607,4,3,Bolton Land,2582,20473,1972,6,254,NA,Active,,,TMLS,N,Y,35.8,-78.7
20344,New Construction Plan,NA,Single Family Residential,Orange Park,FL,32065,4,2,Arbor Mill At Oakleaf,2373,NA,NA,NA,124,NA,Active,,,NewHomeFeed,N,Y,30.2,-81.8
20345,MLS Listing,NA,Single Family Residential,Laguna Niguel,CA,92677,5,4.5,LNSMT - Summit,4831,9553,1990,217,393,325,Active,,,CRMLS,N,Y,33.5,-117.7
20346,MLS Listing,NA,Single Family Residential,Newport Beach,CA,92660,4,4.5,NV - East Bluff - Harbor View,4583,8000,1982,222,873,260,Active,March-10-2018 01:00 PM,March-10-2018 04:30 PM,CRMLS,N,Y,33.6,-117.8
